synonyms	ec_number	recommended_name
Tth DNA ligase	6.5.1.2	DNA ligase (NAD+)
LigN	6.5.1.2	DNA ligase (NAD+)
NAD-dependent DNA ligase	6.5.1.2	DNA ligase (NAD+)
NAD+ dependent DNA ligase	6.5.1.2	DNA ligase (NAD+)
Rv3014c	6.5.1.2	DNA ligase (NAD+)
MtuLigA	6.5.1.2	DNA ligase (NAD+)
T4 DNA ligase	6.5.1.2	DNA ligase (NAD+)
NAD+-dependent DNAligase	6.5.1.2	DNA ligase (NAD+)
LigA	6.5.1.2	DNA ligase (NAD+)
NAD(+)-dependent DNA ligase	6.5.1.2	DNA ligase (NAD+)
MsEPV DNA ligase	6.5.1.2	DNA ligase (NAD+)
MimiLIG	6.5.1.2	DNA ligase (NAD+)
Taq DNA ligase	6.5.1.2	DNA ligase (NAD+)
wBm-LigA	6.5.1.2	DNA ligase (NAD+)
DNA ligase	6.5.1.2	DNA ligase (NAD+)
Polynucleotide synthetase	6.5.1.3	RNA ligase (ATP)
Polyribonucleotide ligase	6.5.1.3	RNA ligase (ATP)
Ribonucleic ligase	6.5.1.3	RNA ligase (ATP)
Polyribonucleotide synthase (ATP)	6.5.1.3	RNA ligase (ATP)
Synthetase, polyribonucleotide	6.5.1.3	RNA ligase (ATP)
RtcA	6.5.1.3	RNA ligase (ATP)
T4 RNA ligase 1	6.5.1.3	RNA ligase (ATP)
DraRnI	6.5.1.3	RNA ligase (ATP)
DraRnl	6.5.1.3	RNA ligase (ATP)
RNA ligase ribozyme	6.5.1.3	RNA ligase (ATP)
class I ligase	6.5.1.3	RNA ligase (ATP)
b1-10t	6.5.1.3	RNA ligase (ATP)
class I RNA ligase ribozyme	6.5.1.3	RNA ligase (ATP)
bacteriophage RNA ligase	6.5.1.3	RNA ligase (ATP)
thermostable RNA ligase 1	6.5.1.3	RNA ligase (ATP)
RM378 RNA ligase	6.5.1.3	RNA ligase (ATP)
RnlA	6.5.1.3	RNA ligase (ATP)
RNA ligase (ATP)	6.5.1.3	RNA ligase (ATP)
phage Rnl2	6.5.1.3	RNA ligase (ATP)
RNL	6.5.1.3	RNA ligase (ATP)
Trl1	6.5.1.3	RNA ligase (ATP)
P52	6.5.1.3	RNA ligase (ATP)
macromolecular complex with RNA ligase activity	6.5.1.3	RNA ligase (ATP)
DREL	6.5.1.3	RNA ligase (ATP)
ribonucleprotein editing complex	6.5.1.3	RNA ligase (ATP)
band IV protein	6.5.1.3	RNA ligase (ATP)
TbREL1	6.5.1.3	RNA ligase (ATP)
RNA-editing ligase 1	6.5.1.3	RNA ligase (ATP)
RNA editing ligase 1	6.5.1.3	RNA ligase (ATP)
REL1	6.5.1.3	RNA ligase (ATP)
RNA ligase	6.5.1.3	RNA ligase (ATP)
T4 RNA ligase 2	6.5.1.3	RNA ligase (ATP)
gp24.1	6.5.1.3	RNA ligase (ATP)
T4 RNA ligase	6.5.1.3	RNA ligase (ATP)
Rnl1	6.5.1.3	RNA ligase (ATP)
RNA ligase 2	6.5.1.3	RNA ligase (ATP)
T4Rnl2	6.5.1.3	RNA ligase (ATP)
Rnl2	6.5.1.3	RNA ligase (ATP)
RNA ligase 1	6.5.1.3	RNA ligase (ATP)
RNA cyclase	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
RNA-3'-phosphate cyclase	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
RNA 3'-terminal phosphatecyclase	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
RNA 3'-teminal phosphate cyclase	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
RNA 3'-phosphate cyclase	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
St-Rtc	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
locus name	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
RNA 3'-terminal phosphate cylase	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
RtcA	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
Rtc	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
Rtc1	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
Rcl1p	6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
gene name	6.5.1.5	RNA 3'-terminal-phosphate cyclase (GTP)
Pf-Rtc	6.5.1.5	RNA 3'-terminal-phosphate cyclase (GTP)
Tfu DNA ligase	6.5.1.6	DNA ligase (ATP or NAD+)
ambiguous	6.5.1.7	DNA ligase (ATP, ADP or GTP)
Szi DNA ligase	6.5.1.7	DNA ligase (ATP, ADP or GTP)
Hbu DNA ligase	6.5.1.7	DNA ligase (ATP, ADP or GTP)
Rtcb-1	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
gene name	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
RtcB1	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
gene name	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
rtcB	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
tRNA-splicing ligase	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
RNA-splicing ligase	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
3'-P RNL	6.5.1.8	3'-phosphate/5'-hydroxy nucleic acid ligase
